sentenca,categoria_maritaka
"Um lugar muito bom, com um ótimo atendimento.",
"Um excelente lugar para se conhecer peixe , o atendimento excelente muito maravilhoso",
"Excelente lugar, bom serviço e a comida muito boa",
Lugar muito bom no geral.,
"O novo local ficou bem legal, a estrutura está muito bacana.",
"Lugar top, agradável, as vezes demora pra passar a pizza e o suco, tirando isso, recomendo",
Cachaçaria do Dedé é um dos local mais populares em Manaus para seu happy hour e descontrair com amigos e familiares.,
"Lugar agradável,  atendimento  muito bom",
"Um ótimo lugar para reunir os amigos e a família, para degustar de uma excelente culinária regional...ótimo atendimento e uma comida de excelência!",
Ótimo lugar com vários sabores de pizzas e massas.,
"Rodízio excelente, ambiente muito bom, os atendentes são melhores ainda, enfim é um ótimo lugar para ir com amigos.",
"Por ser um ótimo local é comum que lá pelas 19:30h ou 20h você já encontre muita gente por lá, sendo assim eu recomendo ir cedo para não ter que esperar na fila.",
Otimo lugar .. com atendimento excelente.,
"Ótimo lugar, sempre lotado",
(Tradução do Google) Ainda as melhores batatas fritas de trufas do mundo inteiro!,
Local agradável e gostei do atendimento.,
Ótimo lugar e comida deliciosa!,
"As mesas tb são desconfortáveis, bancos altos sem encosto.",
Lugar incrível para se divertir com amigos,
"Excelente atendimento do Rafael Vieira, lugar maravilhoso e aconchegante.",
"Ainda que o ambiente tenha melhorado em muito 9o que rende pontos extras para a climatização), a qualidade na mesa decaiu, especialmente os acompanhamentos da carne de sol...Mais",
"É um excelente lugar, recomendo demais, um lugar aconchegante e um atendimento impecável.",
Lugar bacana com boa climatização.,
"Achei bem agradável, mas tem pouca variedade de comida e se você quer conversar e comer não é um bom lugar pois vai muita gente e como o lugar é fechado você ouve a voz de todo mundo.",
"Elaborados por um chef, foge daquele sabor padrão das peixarias tradicionais de Manaus.",
"Já fui algumas vezes com amigos e achei o lugar ótimo, porém nesse domingo levei minha mãe e as mesas estavam sujas, o local cheio de moscas, atendimento demorado fiquei chamando vários garçons... enfim não sei o que está acontecendo com o lugar ?",
"Lugar maravilhoso, excelente atendimento, e uma comida de excelência, deliciosa, recomendamos muito o Dedé boteco",
Lugar incrível e comida boa,
Localização fenomenal ao lado do Teatro Amazonas no centro histórico dá cidade.,
"Se você realmente quer ter uma experiência de comida regional amazonense, esse é um dos melhores lugares.",
Lugar muito bom tem ótimas opções de  tira gosto e a cerveja e bem gelada o atendimento e meio demorado mas vale a pena pelo empório que tem muita variedade,
Local moderno e aconchegante.,
"Local agradável pra reuni amigos com comida, bebida e muita música boa!",
Ótimo lugar pra estar com a família,
Lugar maravilhoso,
Ótimo lugar,
Boa localização.,
Lugar agradável para um bom café da manhã.,
Ótimo lugar.,
"Lugar acolhedor com estacionamento, atendimento excelente e comida muito boa!",
Lugar agradável.,
"Ótimo lugar, com várias mesas, preço justo e comida com qualidade!",
"Pessimo lugar, cobram taxa por garçons e não fui fui bem atendido, o lugar estava quente, não recebemos guardanapos para limpar a boca tivemos que pedir, lugar muito sujo, pessimo atendimento.",
"Ótimo restaurante nem ambientado, pratos deliciosos, ótimas opções de rodízios, único incoveniente e o número de cadeiras que não atende a demanda de pessoas, fora isso um ótimo lugar para levar a família e fazer comemoração",
No geral é um excelente lugar para almoçar.,
"Excelente lugar, comida espetacular",
Boa localização.,
Um bom lugar pra ouvir um samba e cerveja gelada.,
Ponto negativo é o ar-condicionado interno que não refrigera o ambiente.,
"Muito divertido, lugar bem agradável.",
"Local agradável, confortável e com um ambiente único, recomendo a todos.",
"Lugar sensacional: ambiente super agradável, preços justos e comida deliciosa!",
"Lugar super agradável, o serviço é ótimo, e organizado e os garçons são super ágeis.",
"Atendimento ótimo, ambiente agradável lugar excelente para encontros, aniversário e todos os tipos de confraternizações...",
"Ótimo lugar para jantar em família, amigos ou a dois.",
Lugar muito bom para fazer suas festas empresariais.,
"Lugar agradável, comida mto bem feita.",
"Lugar completo de tudo, carnes, vinhos, recomendo.",
"Ótimo, maravilhoso local, limpo bonito atendimento, de excelência. ?",
Ótimo lugar.,
Bom lugar.. Boa peixaria,
Lugar agradável muito lindo e comida nota 10,
"Lugar bom, espaço bacana.",
Bom lugar para curtir uma pizza,
Lugar maravilhoso e comida também ?,
Lugar aconchegante e comidinhas maravilhosas!,
Muito bom local para almoçar.,
Um bom lugar,
"Poderia ter melhores opções de comida como caldos e porções mais variada, mas contando tudo é um ótimo lugar com uma ótima música ao vivo de qualidade.",
"Acho o local pequeno, precisei algumas vezes dividir a mesa mas pela comida vale a pena.",
"A comida estava muito boa, o atendimento foi excelente e o lugar muito agradável",
"Um lugar aconchegante, requintado de boa comida.",
China box excelente comida,
Excelente lugar,
"Adorei, um lugar divertido!",
O estacionamento próprio com muitas vagas tbm é um ponto positivo ?.,
"Local fantástico, acolhedor, aconchegante...",
Lugar agradável com gente bonita e ótimos pratos...,
"A pizza é maravilhosa, o lugar aconchegante, com um play para crianças brincarem ???",
Ótimo lugar e ambiente familiar,
"Local simples, super agradável e com um atendimento excente.",
"Lugar excepcional, valor dos pratos um pouco salgado pra quem pretende comer sozinho.",
"Um local maravilhoso, uma excelente refeição, um ótimo tratamento.",
Local muito bom e agradável....,
Local excelente,
Lugar agradavel com bom atendimento.,
"Buffet limitado, mas é um local agradável,  nada instagramavel,carne gostosa.",
Cada dia que passa o coqueiro verde cai sua qualidade já começa pela entrega pedi 20:34 a carne de sol chegou 21:26 e a atendente ainda vem dizer na tua cara que tá com 35 minutos que eu pedi acho que ela pensa que eu sou cego e ainda tem mais maionese sem sabor macaxeira dura e não cozinhan antes de frita fritan crua mesmo uma taxa de entrega como se eu morasse na cidade nova moro no centro12.00 reais  não indico pra ninguém,
"Rapaz, não é barato, o atendimento é ótimo, mas tinha um coco de cachorro que o povo pisou lá kkkkkk  Brinks é um local bom mas tem que planejar, ser rico ou preparar o bolso",
"Ótimo lugar para reunir a Família é os Amigos, para Comer aquela Deliciosa Pizzas, Super indico.",
"Ótimo lugar, diversão garantida.",
"Lugar aconchegante, muito agradável, excelente paladar.",
"Lugar muito bom, comida muito boa e os garçons são muito educados,  só nao gostei porque demoraram para servir agua e ou gelo, essa parte foi meio chato ficar pedindo toda hora, mas em relação a comida, tudo foi muito bom, ótimo lugar para ir em grupo com os amigos.",
Ótimo lugar,
Bom local para passear com a família.,
"Muito bom, cafés incríveis e bolos deliciosos ótima experiência e local aconchegante.",
Ambiente com muito barulho entretanto um bom lugar pra se distrair praticando o jogo de boliche.,
Lugar bom pra tomar uma cerva no estilo canela de pedreiro !!!,
Ótimo lugar para quem quer sair da rotina com ambiente agradável e pessoas bonitas,
Um dos melhores lugares q fui p passar a noite.,
"Lugar super agradável, comida excelente, preço acima da média , mas vale cada centavo investido em seu jantar.",
"Ótimo lugar, atendimento ótimo e a comida nem se fala",
"Ótimo lugar, mas caro.",
Local excelente para crianças brincarem,
"Lugar bem pitoresco, localizado no centro histórico da cidade, é bem frequentado, até mesmo por turistas, possui um ótimo atendimento",
Excelente lugar pra escutar música boa e beber drinks baratos.,
Local agradável e de bom atendimento.,
Ótimo lugar para se divertir e levar a família e os amigos.,
"Comida bem servida, no ponto certo.",
"Lugar aconchegante, comida ótima com preço condizente.",
"Um lugar bem acolhedor, ambiente Familiar, as porções são generosas  de Excelente qualidade.... Camarão Delicioso  bem fresquinho!",
Lugar aconchegante.,
Lugar maravilhoso e os pastéis deliciosos,
Bom local para matar a fome com atendimento rápido e boa pizza.,
"Lugar aconchegante, atendimento excelente, comida ótima",
"Outro ponto negativo é não pode escolher o ponto da carne, bem como os garçons são muito apressados na retirada dos pratos, além disso, as bebidas são caras.",
"Lugar super aconchegante, em ótima localização, serviço de manobrista .. Buffet variado e rodízio com carnes varia",
"Ótimo lugar para festejar aniversários, jantar e almoçar.",
E um bom local,
Um dos melhores lugares de Manaus.,
"Um lugar sensacional, com um monte de variedades de comidas pra você provar, o preço é significativo e muito em conta se formos analisar a sabor dos pratos, o atendimento, o lugar aconchegante, as variedades de coisas que da pra de fazer entre outras coisas, sensacional.",
"Lugar muito agradável, diferente dos outros flutuantes da cidade o Abaré é bem familiar, musicas boas, comidas excelentes.",
"Ótimo localização, possui estacionamento proporcional aos assentos disponíveis, local com ar-condicionado, atendimento eficiente, cafés variados, cardápio regional, banheiro e o ambiente é confortável e bem decorado.",
"Ótima comida, lugar agradável e atendimento excepcional!",
"Lugar agradável, bem localizado.",
"Atendimento excelente.. lugar super tranquilo, familiar",
"Um lugar maravilhoso, tranquilo, adorei o atendimento",
"Lugar super interessante, bem ao lado do Teatro Amazonas.",
"Lugar bacana, com comida bastante saborosa, principalmente os peixes.",
O único ponto negativo é a demora no atendimento.,
Bom lugar para comemorações especiais.,
Bom lugar para comer,
"O restaurante está localizado no melhor ponto de Manaus, ao lado do Teatro Amazonas.",
"Se ir embora de lá não for um problema pra vc, é um lugar bem bacana no meio do rio e da pra comer pratos por volta de 90 reais duas pessoas e pedir cerveja original de 600 por 15 reais.",
"Sanduíches bem elaborados e molhos razoáveis, lugar bacana.",
"Lugar bem bonito, aconchegante.",
"Local bonito e agradável com som ambiente, garçom Mayk super atencioso, a comida estava incrível!",
"Um excelente lugar, ótimo atendimento!",
Local fantástico!,
comida bem feita e lugar agradavel,
Lugar ideal para...Mais,
Lugar muito bom,
Lugar bom.,
"Lugar muito bonito e acolhedor, comida de excelente qualidade , preço bom eu super recomendo, atendimento de primeira",
Lugar maravilhoso agradável comida maravilhosa recomendo.,
"Um Excelente lugar pra quem gosta de uma boa carne de sol , atendimento nota 10",
"Lugar simples, achei a porção um pouco cara para o tamanho.",
Ótimo lugar,
"Local bom pra curtir e tomar aquela cerveja gelada, sem esquecer daquela tekila.",
"Os atendentes são atenciosos e a cordialidade é comum, o único ponto que faltou foi a opção para entrega de cupons fiscais individualizados (como a refeição que eu, e alguns dos meus companheiros fizemos foi custeada pelas diferentes empresas que trabalhamos, precisamos sempre levar o comprovante fiscal da refeição, e nesse restaurante infelizmente não é possível dividir a conta da mesa em diferentes cupons fiscais) ou seja, foi emitido somente um único cupom fiscal e foi oferecida a opção de um",
Que local incrível!!!,
Ótimo lugar,
O ponto negativo fica por conta da iluminação muito clara e a falta de um carta de cervejas artesanais.,
Um ótimo lugar para se ir após um dia de trabalho.,
"uma local que reuni uma ótima comida com excelente bebida, além do ambiente ser muito tranquilo e limpo.",
Lugar excelente pra vc se distrair no centro de Manaus.,
"Super indico o local, tem música ambiente, muitas variedades no cardápio, lugar agradável, atendimento excelente e o valor é bem acessível.",
"Comida cearense de primeira, acompanhado de um ambiente agradável, bom atendimento, climatização, e boa localização.",
"Ótimo atendimento excelente comida muito bom, lugar maravilhoso para parabéns",
Bom lugar para conhecer a gastronomia regional e bom atendimento e ambiente agradável e preço convidativo.,
"É um local muito bom, com comida típicas da região do Pará e nossa, só falta um estacionamento pros cliente ficarem mais seguro em relação aos seus veículos",
"Phelipe atendimento eficiente,lugar agradável,bem alegre e aconchegante.Comida Divina.Supee recomendo",
"Ótimo lugar, comida saborosa atendimento muito bom",
"Local bonito, bem frequentado, preços médios, comida gostosa e quantidade acessível, mas as vezes demora?",
"Lugar legal, só achei o jeito de servir a carne demorada, pois quando a carne chega a comida já está Fria ou se come sem a carne.",
Um ótimo local para ir com os amigos ou familiares.,
Um lugar excelente em atendimento e comodidade.,
"Pizza muito gostosa, atendimento e local maravilhoso",
Lugar maravilhoso agradável comida maravilhosa recomendo.,
"Lugar incrível de se comer , e faz r alguma confraternização",
"Local ideal para reunir amigos, confraternizações levar a família e saborear das deliciosas carnes.",
O ponto positivo não demorou muito pedido.,
"Comida ao ponto certo e super gostoso, para quem veio buscar informação sobre o local e atendimento, super indico!",
"Lugar simples, mas satisfatório.",
"Foi uma experiência maravilhosa, lugar incrível.",
Lugar super agradável e pessoas bem educadas pra nos atender a começar da dona excelente pessoa.,
Local chique e de bom gosto,
"Lugar bonito com receptividade me sentir em casa, e o melhor com gastronomia excelente.",
Local bem agradável.,
Bom lugar para desenvolver suas habilidades no boliche,
Lugar super agradável .,
Lugar top!!!!,
Local bem legal.,
A Cachaçaria do Dedé é um bom lugar para visitar.,
Lugar romântico,
"Bebidas variadas, com ou sem álcool, mas acredito que a culinária é o ponto forte, com pratos realmente regionais, com um toque de sofisticação.",
"Não deixe de ir, lugar muito agradável, ótima comida e ambiente retrô, amei...",
Ótimo lugar ambiente familiar tranquilo.,
Lugar muito agradável.,
Um excelente lugar.,
Se é  carne de qualidade que procura aqui é  uma das melhores churrascarias da Cidade.,
Ótimo lugar de entretenimento.... recomendo,
"Bar com excelente localização, bem frequentado, tranquilidade, excelentes grupos de samba e sambistas, e ótima variedade de cervejas geladas!",
"Local onde serve uma boa bebida, uma boa cachacinha regional, bem acolhedor e espaçoso.",
baixo custo/benefício... Há  locais melhores nas imediações.,
"Lugar maravilhoso,  ambiente bom para reunião com amigos , tomar um chop sujo bom demais é pizza gostoso.",
"Tudo de bom, lugar agradável custo benefício muito bom.",
"Lugar maravilhoso minha filha adorou , temática perfeita",
Local agradável e de fácil acesso,
"Lugar muito bom, atendimento excelente, comida muito boa com alimentos bem preparados.",
"Comida boa, localização excelente, atende muito bem",
Um lugar perfeito se pra se reunir em grupo.,
Muito lindo ótimo lugar,
"O ponto forte é a variedade de pratos, incrível.",
Lugar excelente!!,
"Não minha opinião não está entre as melhores churrascaria de Manaus, mas é um lugar legal .",
Ótimo lugar,
Excelente lugar para ir com família.,
Lugar simples para uma refeição rápida e de qualidade.,
"É um ótimo local pra quem quer se reunir com amigos , família para beber , tens uns ótimos tiras gosto, muito bom o ambiente .",
"Ótimo lugar para tomar um delicioso café regional ambiente aconchegante é climatizado, vale apena conferir.",
"Atendimento excelente, rodizio maravilhoso, comida de primeira, local bonito, estacionamento e preço alto.",
"Local excelente, atendimento na sala de espera, ótima comida.",
"Excelente localização, ótimo atendimento, comida muito gostosa!",
Local agradável,
em excelente Localização na cidade.,
Ótimo lugar.,
Melhor lugar de Manaus para comer uma picanha com os amigos e familiares.,
Lugar muito aconchegante familiar sem falar dos pratos deliciosos,
"Atendimento de qualidade, lugar grande e mesmo em dias de muito movimento a fila de espera é bem rápida.",
Achei um excelente lugar!,
"Lugar tradicional, ótima música samba raiz.",
Ponto negativo: muito comercial para nada.,
Ótimo lugar.,
Ótimo lugar,
Em nenhum dos dois rodízios  tem sashimi o que é um ponto bem negativo.,
"Comida boa, mas não é um bom lugar pra se conversar entre amigos, muito barulhento ?",
Boa localização.,
Um ótimo lugar para fazer uma festa,
"Um ótimo lugar para quem gosta de apreciar variados tipos de cachaça, um chopp sujo (cerveja com suco do limão e sal), aperitivos ótimos e diversos.",
ótima churrascaria e com localização boa,
"Preço justo, ponto correto da carne e atendimento excelente.",
Local bom e confortável.,
"Lugar muito agradável com um bom atendimento, musica ambiente e uma variedade de bebidas, caldos, entradas e pratos.",
"Lugar otimo, atendimento excelente e comida maravilhosa.",
"Local agradável, ventilado e com muito verde.",
Há lugares melhores e mais em conta na cidade de Manaus.,
Lugar agradável!,
"Comida boa, lugar agradável, bom atendimento, brinquedoteca, vale a pena ir.",
"Lugar bom, boa escolha de bandas!",
Ótimo ambiente e atendimento... Uma das melhores churrascarias de Manaus.,
"a comida uma delícia, mtas variedades, a picanha vc pede a quantidade q quser, tem uma banana frita deliciosa, paçoca de carne seca, arroz com brocólis, sucos... sem falar do ambiente q é climatizado, atendimento muito bom, um excelente lugar pra vc se reunir com...Mais",
"Ótimo lugar para está com amigos ,namorado ou mesmo familiares e preço assecivel.",
"Tem até sanduiche de mortadela... A carne-de-sol é o ponto alto do restaurante, mas eles se aventuram na gastronomia, tem também bolinho de feijoada, pato no tucupi, filé, pirarucu.",
Muito bom o local!,
"Lugar muito confortável, ótimo lugar pra levar a família",
Guardar a sua fome de churrasco para um melhor lugar do Rio ou outra cidade.,
"Um lugar sofisticado, aconchegante e muito divertido.",
"Lugar agradável para um lanche da tarde com as amigas, comida de qualidade e ótimo atendimento.",
"A Cachaçaria do Dedé fica dentro do Shopping Manauara, por isso não achei o local muito atrativo muito apertado as mesas muito juntas (muito fechado para o meu gosto) Mas a Comida é ótima comi um tipo mexido com carnes arroz e feijão que estava...Mais",
"Ótimo peixe, recomendo, atendimento bom, lugar ótimo.",
Lugar maneiro...mas kd o rock de quinta??,
Local muito bom gostaria de curtir um bom samba,
"Amei o lugar, pizza maravilhosa, pastéis deliciosos ?, lugar surpreendente!",
"Lugar gostoso, fácil de estacionar, atendimento excelente.",
"Lugar tradicional de um buteco ao lado do Teatro em Manaus,experimente  os bolinhos de bacalhau.",
"Lugar muito bonito, aconchegante, comida gostosa,  bebidas geladas e um excelente lugar para reunir família, amigos e happy hour para negócios.",
"Muito gostosa a comida, excelente lugar e atendimento muito bom!",
Lugar muito agradável.,
Lugar maravilhoso.?,
Lugar formidável para aquele happy hour com a família e/ou amigos.,
"Lugar muito bonito e confortável, adorei a área externa.",
"Um ótimo lugar para toda família, reuniões com amigos e excelente para um encontro a dois.",
Local super agradável.,
"Possui ótima estrutura, lugar bonito e arejado.",
Lugar tranquilo,
Lugar tranquilo e muito bem servido pelos garçons.,
Um bom lugar pra se divertir com os amigos,
Pizzas e pastéis bons porém lugar muito barulhento e desorganizado.,
"local muito agradável sempre vou com minha família o atendimento ótimo todos os funcionários são bem atenciosos E sempre que eu quero comer alguma coisa,e não sei onde comer vou lá porque sempre está aberto e tem ótimas opções de café da manhã almoço e janta lanche o que você quiser comer provavelmente vai ter lá",
Um dos melhores locais para comer peixe em Manaus.,
"Local excelente, pessoas excelente, atendimento excelente fora que o dono de lá é excelente",
Lugar aconchegante,
Pessimo local pequeno passei horas esperando,
Melhor lugar pra passa o final de semana com a família,
"Local maravilhoso, sem contar no atendimento do Mateus q é tooooooop ??",
"Ambiente acolhedor, com iluminação no ponto certo.",
"Você quem tem uma grana e quer ir a um  lugar bom, não recomendo esse restaurante.",
"Extremamente recomendo, definitivamente um dos melhores lugares para se almoçar ou jantar em Manaus.",
Muito boa localização de frente pra natureza e a comida também é muito boa,
Dois pontos fracos: o preparo dos pratos é lento e o restaurante é pequeno.,
"Lugar super aconchegante,  comida excelente.",
"Um ótimo local para se comer comidas de frutos do mar e nordestina, lugar aconchegante e luxuoso, ótimo atendimento",
Lugar maravilhoso,
Um local familiar......,
Moro proximo e vou ao mesmo duas vezes por mês.,
Ótimo lugar pra relaxar,
"Memorável, lugar incrível, atendimento perfeito!",
"Já foi um bom lugar, hoje um point de prostituição decadente.",
Já comi carnes muito melhores..os acompanhamentos estavam bons..mas acho que Manaus tem lugares bem melhores para comer carne e principalmente peixe!,
"Além de boa variedade de comidas, é um lugar tranquilo para comer.",
"Local super agradável, atendimento muito bom, porções muito gostosas.",
"Lugar muito bom, o atendimento poderia receber umas atenção especial",
"Lugar super agradável, música ao vivo.",
Lugar muito bom,
Local bem tranquilo e familiar.,
Ótimo lugar para encontrar os amigos,
"Lugar mega agradável, com tudo bom e a preço justo.",
"Lugar muito agradável,  rodízio maravilhoso",
"Um dos bares mais agitados de Manaus, vale a pena passar a noite no karaoke com amigos pra cantar e se divertir.",
Excelente ponto do hambúrguer ?,
"Restaurante excelente,  otima localização,  cardápio completo,  atendimento diferenciado,  pessoal organizado, ambiente limpo e confortável.",
"Local bem aconchegante e funcionários relativamente atenciosos... Apenas poderiam ser um pouco mais proativos, procurar os clientes não esperar que eles os procurem... Mas depois q vc conquista o coração deles o atendimento é ótimo...",
Lugar excelente,
"Ótimo lugar para comer uma deliciosa pizza no rodizio de massas, ambiente climatizado, bem familiar, atendimento nota 10, ótima localização!",
"Lugar agradável, familiar e delicioso.",
Lugar ótimo para levar a família e amigos.,
"Local agradável, lanches típicos, regionais",
"Muito bom local para curtir uma tradicional refeição tipo americana, com hamburguer, hot dog e costelinha de porco.",
"Ótima pizza italiana, lugar agradável.",
"Comida deliciosa, ótimo lugar para estar com a família!",
"Local surpreendente, experiência incrível",
comida bem feita e lugar agradavel,
"Excelente lugar, fomos muito bem atendidos pelo Anderson Ferreira ?",
Ótimo lugar.,
"Ótimo lugar, tratamento vip e comida ótima.",
"Variedade em alimentação, lugar aconchegante e limpo, preços altos devido a grande variedade.",
"Muito bem atendido, local muito bom, música boa , prato excelente, garçom Fernando, que nos atendeu, muito bom profissional.",
Um dos melhores lugares para saborear um delicioso doce em uma tarde de domingo!,
O restaurante tem uma ótima localização com estacionamento amplo.,
Lugar bem agradável com uma variedade muito grande de pratos com frutos do mar todos bem servidos e o atendimento satisfatório.,
Bom lugar para jantar,
"Local aconchegante, antendimento de excelência, pratos diferenciados, tudo limpo e organizado, só elogios para esse lugar.",
Lugar aconchegante e comida excelente!,
"Se o que se quer é comer um ceviche este é o local correto pra se visitar, tanto no almoço como no jantar.",
"É um local sensacional, ambiente calmo e tranquilo.",
"Sempre vamos ao banzeiro, ótimo lugar para quem quer comer comidas regionais, que por sinal os pratos são  muito bem preparados.",
Lugar agradável para um bom papo e cerveja gelada!,
"Um lugar maravilhoso, muito aconchegante, o atendimento super rápido e eficiente além de ser um ótimo atendimento... A cerveja bem geladinha e as comidas e petiscos são gostosos e bem servidos... E tudo isso por um preço relativamente bom para a localização...",
Local claro e com música ambiente.,
"Comida gostosa, atendimento agradável, ambiente aconchegante, preço adequado, local limpo, climatizado, de fácil acesso e com muitas vagas p/ estacionamento.",
"Um local bom, atendimento respeitoso (exceto em datas comemorativas, que dai vira um caos) ótima opção de almoço e janta, a comida é boa.",
"Se vc quiser se deliciar de uma gostosa picanha, este eh o lugar ideal.",
Izaquiel muito cordial e nos atendeu muito bem.,
"Muito boa a comida e o atendimento, repertório bem tranquilo com música ambiente, Ricardo José não deixou faltar nada e tudo sem demora.",
Boa carta de vinhos.,
Para os ribeirinhos amazônicos ‘banzeiro’ é a agitação das águas feita pelos ventos.,
Atendimento muito bom Phelipe,
"Um dos melhores flutuantes de Manaus, e cada vez ficando maior, ótimo pra família, amigos ou em casal.",
"A msm coisa digo eu neto costa, terça mesmo passei por isso com o mesmo rapaz",
"Gostei do ambiente mas a carne achei dura e tive problemas ao efetuar o pagamento ,demorou mt tempo pra ser resolvido .Mas tive boa recomendação ,só não tive sorte.",
"O rodízio é fraco, a qualidade da carne não é das melhores e o salad bar é fraquíssimo....Mais",
Denys ótimo atendente,
"Um jantar clássico, autêntica cozinha portuguesa, com maravilhosa sensibilidade ao paladar brasileiro....O cardápio é grande, diversificado e, com certeza, atende a todos os gostos.",
Para os ribeirinhos amazônicos ‘banzeiro’ é a agitação das águas feita pelos ventos.,
"Atendimento nota 10, lugar bem aconchegante, estacionamento amplo, há recepcionista no local, acessível para cadeirantes!",
"Comprei frango, calabresa, queijo assados, maionese, farofa e arroz.A maionese está com as batatas e cenouras duras, o arroz ainda duro, creio que cruz, peço que melhorem a qualidade porque depois que compramos não podemos ir aí devolver, além de ser chato né.",
"Não sei o que fazem com o limão mas pelo gosto é limão do outro dia, muito ruim, fui uma vez pedi o chopp sujo e o gosto do chopp parecia que o limão estava estragado, fui outra vez outro dia pra ter certeza é o mesmo problema, não recomendo de forma alguma.",
"boa variedade de cervejas e impressionante variedade de cachacas, bons tiragostos, bastante barulhento, atendimento no geral demorado, costuma estar lotado, bom para passar uma noite bebericando e comendo com com amigos",
"Garçom Jailson super atento conosco, muito obrigada coco bambu pelo atendimento.",
Amamos o atendimento do garcon em treinamentos Wesley super atencioso e paciente com nossas solicitações.Ja pode ser promovido.,
O garçom serviu a salada com a mesma colher...Mais,
"Seu cardápio contém os peixes e pratos regionais apresentados de maneira criativa, mediante concepção diferente.",
"Casa especializada em comida paraense, onde o maior objetivo é satisfazer os clientes.",
"Viemos numa quarta feira e pedimos o menu com entrada, prato principal e sobremesa.",
Maitre Hosana atenciosa.,
"Era segunda feira por volta de 20:00 Quando cheguei, o ambiente é amplo, porém as mesas ficam apertadas e para uma segunda havia  bastante gente, muito barulho no lugar, então  fiquei imaginando no final de semana.",
"A primeira vez que fui ao Banzeiro, buscava um local que oferecesse a culinária local, pois uma prima carioca  estava de passagem pela cidade e nada como um bom peixe para acompanhar uma conversa gostosa.",
"Bom atendimento, belos atendentes e ótimo lanche!.",
"Barzinho situado em lindo casarão histórico, ambiente descontraído e bem frequentado.",
Muito agradavel desfrutar  de momentos maravilhosos  tomando um delicioso café ou suco de laranja nesta padaria Eles tambem preparam sanduiches com patês pra lá de especiais!,
Coqueiro verde sempre excelente e o Brian Simão presta um atendimento sensacional.,
tudo de bom nhami nhami,
Criatividade culinária distribuída num cardápio vasto com sabores e aromas do nosso País e um atendimento de uma delicadeza intimista que nos faz se sentir em casa,
"Se ainda tiverem coragem de ir,  NUNCA peçam a opção NA CHAPA, pois a maioria dos itens já chegam queimados na sua mesa, é uma fumaceira horrível e vc tem que ficar cuidando toda hora do que está em.cima da chapa para não torrar mais ainda.",
Ótimo custo-benefício.,
"Ótimo espaço, em eventos temáticos se torna ainda mais bonito.",
Os funcionários educados e prestativos em acomodar o  nosso grupo que estava comemorando um aniversário surpresa.,
"Um dos melhores rodízios de pizza e massa que já fui, se não o melhor.",
"Imenso atraso na entrega, não recomendo!",
"As pizzas são muito boas, com massa fina e boas opções de sabores, das mais tradicionais a algumas mais complexas (uma opção de queijo brie e...Mais",
Recomendo.,
precisa de uma ótima manutenção pois acho que já está bem gastas... O demais está perfeito.,
"Fomos bem atendidos por uma funcionaria novata, porem muito atenta, totalmente diferente dos desatentos veteranos",
Fui numa festa infantil e fomos muito bem servidos!,
"Café da manhã ótimo, mas o jantar não gostei tanto, os pratos de carne são bem pequenos para o valor.",
"Este restaurante tem como atrativo uma das melhores picanhas no bafo de manaus, tem também um arroz com brócolis que é uma delícia, o atendimento é bem rápido nos dias normais, mas no caso de feriados e datas comemorativas voçe vai pegar uma bela de...Mais",
ótimo pra tomar um bom chopp e comer petiscos.,
Tem grande variedade mas às vezes (nem sempre)  serve alimentos frios e isso é uma grande frustração,
"Chopp geladinho, muitooo bom!",
"Comi 3 pratos diferentes em ocasiões diferentes e sempre muito bem servido, com um cozimento impecável e um ótimo serviço, os preços são muito bons!",
Entrada simples que dá acesso ao lobby com uma grande escada (possuem elevador ) em cima o salão bonito e com vista privilegiada do teatro Amazonas .,
"São as melhores carnes, e o atendimento de primeiras qualidade.aquela sobremesa de deixar água na boca",
"O atendimento deixa um pouco a desejar.... Pessoal meio mau humorado e não fazem muita questão de te servir, se estiver com tempo e paciencia vale a pena, a vista para o teatro é...otima das cadeiras ao lado de fora.Mais",
Sugiro melhor organização nos próximo feriados e datas especiais.Mais,
"Antigo canto dos intelectuais hoje é habitada por jovens boêmios, estrangeiros que vêm se aventurar na Selva Amazônica e experimentar um pouco de sua seiva.",
"Não tem estacionamento próprio, pastel proposto o de feira pastel servido o de festinha infantil e a massa das pizzas pareciam ser compradas em supermercado.",
De entrada pedi queijo parmesão negro e bolinhos de bacalhau.,
Indico com certeza  muito gentil e cordial,
Ótima opção para reuniões informais e até mesmo aniversários.,
"Atendimento de excelência, variedade de massas de qualidade, o temperinho maravilhoso dos molhos, super recomendo",
"A sobremesa pedi um petit gateau, bom, porém não pediria novamente e demorou, mas não diminui a nota, pois o atendente foi educado e nos deixou por dentro do ocorrido do atraso, um bom atendimento camufla eventuais acontecimentos.",
O melhor kikao da cidade!,
Ótimo ambiente para eventos especiais como aniversário e confraternização.Recomento atendimento pelo o garçom Ezequiel.,
"Restaurante flutuante com comida muitooo boa, atendimento excelente, várias opções de drinks, música boa e um banhoi de rio revigorante!",
Almoço no estilo self-service onde você come bem pagando um preço justo.,
A matrinxã recheada estava incrível de macia e gostosa e os preços têm ótimo custo-benefício!,
Normalmente muito movimentado e sem distanciamento social... oferece diversidade de opções.,
Ótimo ovo de Páscoa do coco bambu recomendado pelo garçon,
